species,chrom,sex,gene,min,median,max,sd,n_ind.s,human_median
chimp,X,F,CT45A5,2.08,2.9,3.72,1.16,2,6.92
chimp,X,F,CT47A4,1.15,1.62,2.08,0.65,2,5.41
chimp,X,F,DMD,1,1,1,0,2,1.06
chimp,X,F,GAGE4,0.92,1.28,1.64,0.51,2,17.12
chimp,X,F,OPN1LW,1.38,1.99,2.6,0.86,2,2.15
chimp,X,F,SPANXB1,1.35,2.19,3.04,1.2,2,4.21
chimp,X,M,CT45A5,1.85,2.09,2.33,0.34,2,7.89
chimp,X,M,CT47A4,1,1.17,1.33,0.24,2,5.64
chimp,X,M,DMD,1,1,1,0,2,1.06
chimp,X,M,GAGE4,0.85,0.92,1,0.11,2,17.5
chimp,X,M,OPN1LW,1.15,1.41,1.67,0.36,2,2.42
chimp,X,M,SPANXB1,1.38,1.61,1.83,0.32,2,4.64
chimp,Y,F,AMELY,1,1,1,0,2,2.5
chimp,Y,F,BPY2,0,0,0,0,2,2
chimp,Y,F,CDY,0,0,0,0,2,1
chimp,Y,F,PRY,0,0.1,0.2,0.14,2,1.5
chimp,Y,F,RBMY1A1,0,0,0,0,2,1
chimp,Y,F,TSPY,0,0,0,0,2,1
chimp,Y,M,AMELY,1,1,1,0,2,1
chimp,Y,M,BPY2,1.77,1.98,2.19,0.3,2,3.05
chimp,Y,M,CDY,3.85,4.49,5.12,0.9,2,3.28
chimp,Y,M,PRY,3.15,3.55,3.94,0.55,2,3.62
chimp,Y,M,RBMY1A1,9.54,10.68,11.81,1.61,2,7.37
chimp,Y,M,TSPY,8.08,10.91,13.75,4.01,2,26.61
gorilla,X,F,CT45A5,1.8,2.2,2.29,0.26,3,6.92
gorilla,X,F,CT47A4,1.2,2.8,3.84,1.33,3,5.41
gorilla,X,F,DMD,1,1,1,0,3,1.06
gorilla,X,F,GAGE4,0.93,1.07,1.09,0.08,3,17.12
gorilla,X,F,OPN1LW,2.4,2.83,3.33,0.47,3,2.15
gorilla,X,M,CT45A5,1.83,1.83,1.83,NA,1,7.89
gorilla,X,M,CT47A4,1.13,1.13,1.13,NA,1,5.64
gorilla,X,M,DMD,1,1,1,NA,1,1.06
gorilla,X,M,GAGE4,0.91,0.91,0.91,NA,1,17.5
gorilla,X,M,OPN1LW,2,2,2,NA,1,2.42
