AR	ind	sample_id	region	sex	median_cov	normalized_cov
4_0	ERR1019060	S_Miao-1	EastAsia	XY	14	0.933333333333333
5_0	ERR1019060	S_Miao-1	EastAsia	XY	9	0.6
6_0	ERR1019060	S_Miao-1	EastAsia	XY	256	17.0666666666667
8_0	ERR1019060	S_Miao-1	EastAsia	XY	28	1.86666666666667
9_0	ERR1019060	S_Miao-1	EastAsia	XY	21	1.4
10_0	ERR1019060	S_Miao-1	EastAsia	XY	26	1.73333333333333
10_1	ERR1019060	S_Miao-1	EastAsia	XY	27	1.8
11_0	ERR1019060	S_Miao-1	EastAsia	XY	30	2
12_0	ERR1019060	S_Miao-1	EastAsia	XY	33	2.2
13_0	ERR1019060	S_Miao-1	EastAsia	XY	29	1.93333333333333
14_0	ERR1019060	S_Miao-1	EastAsia	XY	30	2
14_1	ERR1019060	S_Miao-1	EastAsia	XY	25	1.66666666666667
16_0	ERR1019060	S_Miao-1	EastAsia	XY	21	1.4
17_0	ERR1019060	S_Miao-1	EastAsia	XY	11	0.733333333333333
17_1	ERR1019060	S_Miao-1	EastAsia	XY	31	2.06666666666667
18_0	ERR1019060	S_Miao-1	EastAsia	XY	26	1.73333333333333
18_1	ERR1019060	S_Miao-1	EastAsia	XY	15	1
21_0	ERR1019060	S_Miao-1	EastAsia	XY	613	40.8666666666667
23_0	ERR1019060	S_Miao-1	EastAsia	XY	32	2.13333333333333
24_0	ERR1019060	S_Miao-1	EastAsia	XY	63	4.2
25_0	ERR1019060	S_Miao-1	EastAsia	XY	17	1.13333333333333
26_0	ERR1019060	S_Miao-1	EastAsia	XY	111	7.4
27_0	ERR1019060	S_Miao-1	EastAsia	XY	49	3.26666666666667
29_0	ERR1019060	S_Miao-1	EastAsia	XY	20	1.33333333333333
29_1	ERR1019060	S_Miao-1	EastAsia	XY	23	1.53333333333333
29_2	ERR1019060	S_Miao-1	EastAsia	XY	21	1.4
30_0	ERR1019060	S_Miao-1	EastAsia	XY	22	1.46666666666667
30_1	ERR1019060	S_Miao-1	EastAsia	XY	32	2.13333333333333
31_0	ERR1019060	S_Miao-1	EastAsia	XY	20	1.33333333333333
31_1	ERR1019060	S_Miao-1	EastAsia	XY	27	1.8
32_0	ERR1019060	S_Miao-1	EastAsia	XY	24	1.6
32_1	ERR1019060	S_Miao-1	EastAsia	XY	22	1.46666666666667
33_0	ERR1019060	S_Miao-1	EastAsia	XY	36	2.4
34_0	ERR1019060	S_Miao-1	EastAsia	XY	29	1.93333333333333
DMD	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
4_0	ERR1347723	S_BantuTswana-2	Africa	XY	16	0.888888888888889
5_0	ERR1347723	S_BantuTswana-2	Africa	XY	14	0.777777777777778
6_0	ERR1347723	S_BantuTswana-2	Africa	XY	347	19.2777777777778
8_0	ERR1347723	S_BantuTswana-2	Africa	XY	33	1.83333333333333
9_0	ERR1347723	S_BantuTswana-2	Africa	XY	25	1.38888888888889
10_0	ERR1347723	S_BantuTswana-2	Africa	XY	29	1.61111111111111
10_1	ERR1347723	S_BantuTswana-2	Africa	XY	33	1.83333333333333
11_0	ERR1347723	S_BantuTswana-2	Africa	XY	34	1.88888888888889
12_0	ERR1347723	S_BantuTswana-2	Africa	XY	39	2.16666666666667
13_0	ERR1347723	S_BantuTswana-2	Africa	XY	33	1.83333333333333
14_0	ERR1347723	S_BantuTswana-2	Africa	XY	35	1.94444444444444
14_1	ERR1347723	S_BantuTswana-2	Africa	XY	28	1.55555555555556
16_0	ERR1347723	S_BantuTswana-2	Africa	XY	28	1.55555555555556
17_0	ERR1347723	S_BantuTswana-2	Africa	XY	12	0.666666666666667
17_1	ERR1347723	S_BantuTswana-2	Africa	XY	37	2.05555555555556
18_0	ERR1347723	S_BantuTswana-2	Africa	XY	29	1.61111111111111
18_1	ERR1347723	S_BantuTswana-2	Africa	XY	16	0.888888888888889
21_0	ERR1347723	S_BantuTswana-2	Africa	XY	781	43.3888888888889
23_0	ERR1347723	S_BantuTswana-2	Africa	XY	36	2
24_0	ERR1347723	S_BantuTswana-2	Africa	XY	81	4.5
25_0	ERR1347723	S_BantuTswana-2	Africa	XY	21	1.16666666666667
26_0	ERR1347723	S_BantuTswana-2	Africa	XY	120	6.66666666666667
27_0	ERR1347723	S_BantuTswana-2	Africa	XY	92	5.11111111111111
29_0	ERR1347723	S_BantuTswana-2	Africa	XY	23	1.27777777777778
29_1	ERR1347723	S_BantuTswana-2	Africa	XY	27	1.5
29_2	ERR1347723	S_BantuTswana-2	Africa	XY	26	1.44444444444444
30_0	ERR1347723	S_BantuTswana-2	Africa	XY	24	1.33333333333333
30_1	ERR1347723	S_BantuTswana-2	Africa	XY	34	1.88888888888889
31_0	ERR1347723	S_BantuTswana-2	Africa	XY	24	1.33333333333333
31_1	ERR1347723	S_BantuTswana-2	Africa	XY	32	1.77777777777778
32_0	ERR1347723	S_BantuTswana-2	Africa	XY	44	2.44444444444444
32_1	ERR1347723	S_BantuTswana-2	Africa	XY	28	1.55555555555556
33_0	ERR1347723	S_BantuTswana-2	Africa	XY	39	2.16666666666667
34_0	ERR1347723	S_BantuTswana-2	Africa	XY	34	1.88888888888889
DMD	ERR1347723	S_BantuTswana-2	Africa	XY	19	1.05555555555556
4_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
5_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
6_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	384	21.3333333333333
8_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	36	2
9_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	31	1.72222222222222
10_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	31	1.72222222222222
10_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	38	2.11111111111111
11_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	36	2
12_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	40	2.22222222222222
13_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	34	1.88888888888889
14_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	37	2.05555555555556
14_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	32	1.77777777777778
16_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	34	1.88888888888889
17_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	14	0.777777777777778
17_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	38	2.11111111111111
18_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	35	1.94444444444444
18_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
21_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	1291.5	71.75
23_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	37	2.05555555555556
24_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	69	3.83333333333333
25_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	20	1.11111111111111
26_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	174	9.66666666666667
27_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	78	4.33333333333333
29_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	30	1.66666666666667
29_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	33	1.83333333333333
29_2	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	32	1.77777777777778
30_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	33	1.83333333333333
30_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	40	2.22222222222222
31_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	29	1.61111111111111
31_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	34	1.88888888888889
32_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	51	2.83333333333333
32_1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	35	1.94444444444444
33_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	40	2.22222222222222
34_0	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	37	2.05555555555556
DMD	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
4_0	ERR1019035	S_Balochi-1	SouthAsia	XY	18	0.947368421052632
5_0	ERR1019035	S_Balochi-1	SouthAsia	XY	14	0.736842105263158
6_0	ERR1019035	S_Balochi-1	SouthAsia	XY	303	15.9473684210526
8_0	ERR1019035	S_Balochi-1	SouthAsia	XY	37	1.94736842105263
9_0	ERR1019035	S_Balochi-1	SouthAsia	XY	27	1.42105263157895
10_0	ERR1019035	S_Balochi-1	SouthAsia	XY	35	1.84210526315789
10_1	ERR1019035	S_Balochi-1	SouthAsia	XY	37	1.94736842105263
11_0	ERR1019035	S_Balochi-1	SouthAsia	XY	38	2
