name	pos	count
DMD	875739.0	5.0
ampliconic_region10_0	7047.5	6.0
ampliconic_region10_1	6076.5	13.0
ampliconic_region11_0	13038.0	16.0
ampliconic_region12_0	17962.0	5.0
ampliconic_region13_0	17372.0	9.0
ampliconic_region14_0	57084.0	13.0
ampliconic_region14_1	5071.0	12.0
ampliconic_region16_0	2417.5	12.0
ampliconic_region17_0	1324.0	4.0
ampliconic_region17_1	68744.5	12.0
ampliconic_region18_0	1537.5	5.0
ampliconic_region18_1	2100.0	8.0
ampliconic_region21_0	835.5	206.0
ampliconic_region23_0	18433.5	7.0
ampliconic_region24_0	1368.0	7.0
ampliconic_region25_0	7671.5	6.0
ampliconic_region26_0	3928.5	6.0
ampliconic_region27_0	7991.5	10.0
ampliconic_region29_0	4013.0	11.0
ampliconic_region29_1	2550.0	18.0
ampliconic_region29_2	1508.5	7.0
ampliconic_region30_0	1760.5	9.0
ampliconic_region30_1	3142.5	13.0
ampliconic_region31_0	4259.5	10.0
ampliconic_region31_1	21561.5	10.0
ampliconic_region32_0	7957.0	10.0
ampliconic_region32_1	6530.5	9.0
ampliconic_region33_0	22894.5	14.0
ampliconic_region34_0	7409.0	6.0
ampliconic_region4_0	3737.5	6.0
ampliconic_region5_0	301.0	1.0
ampliconic_region6_0	3733.0	15.0
ampliconic_region8_0	12768.0	11.0
ampliconic_region9_0	3779.0	11.0
