name	pos	count
DMD	1017124.0	13.0
ampliconic_region10_0	5531.5	19.0
ampliconic_region10_1	5626.5	29.0
ampliconic_region11_0	13409.0	35.0
ampliconic_region12_0	29014.5	29.0
ampliconic_region13_0	28393.0	30.0
ampliconic_region14_0	56906.5	31.0
ampliconic_region14_1	5032.5	25.0
ampliconic_region16_0	2336.0	26.0
ampliconic_region17_0	1020.0	12.0
ampliconic_region17_1	70097.0	33.0
ampliconic_region18_0	1234.0	15.0
ampliconic_region18_1	1730.0	16.0
ampliconic_region21_0	585.5	507.0
ampliconic_region23_0	24359.5	31.0
ampliconic_region24_0	1594.5	15.0
ampliconic_region25_0	7655.0	17.0
ampliconic_region26_0	4194.5	48.0
ampliconic_region27_0	8620.5	29.0
ampliconic_region29_0	3607.0	18.0
ampliconic_region29_1	2793.0	43.0
ampliconic_region29_2	1376.5	14.0
ampliconic_region30_0	1717.0	15.0
ampliconic_region30_1	3085.5	44.0
ampliconic_region31_0	4253.5	28.0
ampliconic_region31_1	22240.0	28.0
ampliconic_region32_0	7524.5	26.0
ampliconic_region32_1	5828.0	30.0
ampliconic_region33_0	23633.5	31.0
ampliconic_region34_0	7616.0	30.0
ampliconic_region4_0	4808.0	7.0
ampliconic_region5_0	420.5	4.0
ampliconic_region6_0	3686.5	78.0
ampliconic_region8_0	12275.5	32.0
ampliconic_region9_0	3717.0	23.0
