name	pos	count
DMD	1019264.0	18.0
ampliconic_region10_0	5443.0	28.0
ampliconic_region10_1	5613.5	38.0
ampliconic_region11_0	13423.0	41.0
ampliconic_region12_0	29021.5	42.0
ampliconic_region13_0	28271.0	36.0
ampliconic_region14_0	56821.0	38.0
ampliconic_region14_1	4996.5	32.0
ampliconic_region16_0	2351.5	31.0
ampliconic_region17_0	1005.0	11.0
ampliconic_region17_1	70129.0	41.0
ampliconic_region18_0	1220.0	21.0
ampliconic_region18_1	1724.5	19.0
ampliconic_region21_0	586.5	499.0
ampliconic_region23_0	24279.5	45.0
ampliconic_region24_0	1600.5	18.0
ampliconic_region25_0	7620.5	23.0
ampliconic_region26_0	4216.5	61.0
ampliconic_region27_0	8598.0	35.0
ampliconic_region29_0	3642.0	17.0
ampliconic_region29_1	2763.5	38.0
ampliconic_region29_2	1460.5	14.0
ampliconic_region30_0	1723.5	16.0
ampliconic_region30_1	3058.0	45.0
ampliconic_region31_0	4295.0	28.0
ampliconic_region31_1	22261.5	29.0
ampliconic_region32_0	7529.0	31.0
ampliconic_region32_1	5816.5	31.0
ampliconic_region33_0	23590.5	40.0
ampliconic_region34_0	7697.5	35.0
ampliconic_region4_0	4615.0	8.0
ampliconic_region5_0	461.0	6.0
ampliconic_region6_0	3686.0	108.0
ampliconic_region8_0	12274.5	38.0
ampliconic_region9_0	3707.5	28.0
