name	pos	count
DMD	1013907.5	9.0
ampliconic_region10_0	5591.0	12.0
ampliconic_region10_1	5633.0	16.0
ampliconic_region11_0	13409.5	18.0
ampliconic_region12_0	28952.0	19.0
ampliconic_region13_0	28403.5	15.0
ampliconic_region14_0	57057.0	17.0
ampliconic_region14_1	4969.0	14.0
ampliconic_region16_0	2424.0	14.0
ampliconic_region17_0	1021.0	7.0
ampliconic_region17_1	69943.0	19.0
ampliconic_region18_0	1214.0	8.0
ampliconic_region18_1	1732.0	8.0
ampliconic_region21_0	586.0	183.0
ampliconic_region23_0	24184.5	24.0
ampliconic_region24_0	1606.0	8.0
ampliconic_region25_0	7552.5	12.0
ampliconic_region26_0	4206.5	25.0
ampliconic_region27_0	8747.0	21.0
ampliconic_region29_0	3604.5	9.0
ampliconic_region29_1	2761.5	23.0
ampliconic_region29_2	1397.0	6.0
ampliconic_region30_0	1655.5	7.0
ampliconic_region30_1	3022.0	24.0
ampliconic_region31_0	4388.5	11.0
ampliconic_region31_1	22217.0	13.0
ampliconic_region32_0	7502.5	12.0
ampliconic_region32_1	5797.0	12.0
ampliconic_region33_0	23610.0	18.0
ampliconic_region34_0	7519.5	15.0
ampliconic_region4_0	4785.0	4.0
ampliconic_region5_0	457.5	2.0
ampliconic_region6_0	3735.5	56.0
ampliconic_region8_0	12178.0	18.0
ampliconic_region9_0	3711.0	11.0
