name	pos	count
DMD	885812.0	9.0
ampliconic_region10_0	6317.0	7.0
ampliconic_region10_1	6085.5	21.0
ampliconic_region11_0	13037.0	24.0
ampliconic_region12_0	11374.0	8.0
ampliconic_region13_0	17634.5	12.0
ampliconic_region14_0	56619.0	20.0
ampliconic_region14_1	5177.0	19.0
ampliconic_region16_0	2347.5	18.0
ampliconic_region17_0	1347.0	12.0
ampliconic_region17_1	67875.5	18.0
ampliconic_region18_0	1447.5	10.0
ampliconic_region18_1	1914.5	9.0
ampliconic_region21_0	835.5	326.5
ampliconic_region23_0	26518.0	10.0
ampliconic_region24_0	1397.5	12.0
ampliconic_region25_0	7637.5	8.0
ampliconic_region26_0	3737.0	9.0
ampliconic_region27_0	8146.0	17.0
ampliconic_region29_0	3832.0	12.0
ampliconic_region29_1	2607.5	27.0
ampliconic_region29_2	1483.0	13.0
ampliconic_region30_0	1643.5	12.0
ampliconic_region30_1	3220.5	16.0
ampliconic_region31_0	4241.5	15.0
ampliconic_region31_1	21557.0	14.0
ampliconic_region32_0	7892.5	14.0
ampliconic_region32_1	6337.5	15.0
ampliconic_region33_0	22561.0	23.0
ampliconic_region34_0	7744.5	8.0
ampliconic_region4_0	3719.0	11.0
ampliconic_region5_0	249.5	1.0
ampliconic_region6_0	3763.0	14.0
ampliconic_region8_0	12695.0	16.0
ampliconic_region9_0	3818.0	19.0
