name	pos	count
DMD	998497.0	25.0
ampliconic_region10_0	5428.5	40.0
ampliconic_region10_1	5608.5	66.0
ampliconic_region11_0	13335.0	67.0
ampliconic_region12_0	29534.5	60.0
ampliconic_region13_0	48144.5	17.0
ampliconic_region14_0	57507.5	60.0
ampliconic_region14_1	4998.5	56.0
ampliconic_region16_0	2331.5	62.0
ampliconic_region17_0	1013.5	26.0
ampliconic_region17_1	63138.5	61.0
ampliconic_region18_0	1271.0	36.0
ampliconic_region18_1	1759.0	22.0
ampliconic_region21_0	520.0	436.0
ampliconic_region23_0	24263.0	58.0
ampliconic_region24_0	1711.0	149.0
ampliconic_region25_0	7691.0	33.0
ampliconic_region26_0	4265.0	80.0
ampliconic_region27_0	8493.0	126.0
ampliconic_region29_0	4125.0	46.0
ampliconic_region29_1	2819.5	41.0
ampliconic_region29_2	1386.5	46.0
ampliconic_region30_0	1815.5	38.0
ampliconic_region30_1	3199.0	55.0
ampliconic_region31_0	4334.0	47.0
ampliconic_region31_1	21937.0	52.0
ampliconic_region32_0	7478.0	55.0
ampliconic_region32_1	5982.5	46.0
ampliconic_region33_0	23683.0	65.0
ampliconic_region34_0	7690.5	61.0
ampliconic_region4_0	5086.0	14.0
ampliconic_region5_0	403.0	12.0
ampliconic_region6_0	3687.0	227.0
ampliconic_region8_0	12342.0	67.0
ampliconic_region9_0	3747.0	57.0
