name	pos	count
DMD	894217.0	17.0
ampliconic_region10_0	6333.0	14.0
ampliconic_region10_1	6074.5	38.0
ampliconic_region11_0	13007.0	46.0
ampliconic_region12_0	11166.0	11.0
ampliconic_region13_0	18085.0	23.0
ampliconic_region14_0	56350.0	38.0
ampliconic_region14_1	5164.0	40.0
ampliconic_region16_0	2345.0	38.0
ampliconic_region17_0	1082.0	17.0
ampliconic_region17_1	67804.0	35.0
ampliconic_region18_0	1425.5	17.0
ampliconic_region18_1	1845.5	14.0
ampliconic_region21_0	834.0	579.0
ampliconic_region23_0	26470.5	18.0
ampliconic_region24_0	1379.0	17.0
ampliconic_region25_0	7688.0	15.0
ampliconic_region26_0	3921.0	19.0
ampliconic_region27_0	8092.0	33.0
ampliconic_region29_0	3946.0	26.0
ampliconic_region29_1	2611.0	53.0
ampliconic_region29_2	1488.0	23.0
ampliconic_region30_0	1618.0	17.0
ampliconic_region30_1	3239.0	32.0
ampliconic_region31_0	4247.0	31.0
ampliconic_region31_1	21494.0	26.0
ampliconic_region32_0	7811.0	24.0
ampliconic_region32_1	6319.0	23.0
ampliconic_region33_0	22962.0	46.0
ampliconic_region34_0	7622.5	15.0
ampliconic_region4_0	4174.5	15.0
ampliconic_region5_0	266.0	5.0
ampliconic_region6_0	3874.0	31.0
ampliconic_region8_0	12646.0	31.0
ampliconic_region9_0	3795.5	39.0
