name	pos	count
DMD	1003087.0	26.0
ampliconic_region10_0	5524.0	45.0
ampliconic_region10_1	5621.5	70.0
ampliconic_region11_0	13336.5	69.0
ampliconic_region12_0	29459.5	64.0
ampliconic_region13_0	48011.0	20.0
ampliconic_region14_0	57479.0	65.0
ampliconic_region14_1	4974.0	60.0
ampliconic_region16_0	2335.5	66.0
ampliconic_region17_0	1015.5	28.0
ampliconic_region17_1	63095.5	65.0
ampliconic_region18_0	1260.5	35.0
ampliconic_region18_1	1751.5	20.0
ampliconic_region21_0	495.5	436.0
ampliconic_region23_0	24177.5	61.0
ampliconic_region24_0	1710.5	212.0
ampliconic_region25_0	7688.5	34.0
ampliconic_region26_0	4274.5	87.0
ampliconic_region27_0	8524.0	126.0
ampliconic_region29_0	4128.0	51.0
ampliconic_region29_1	2779.0	46.0
ampliconic_region29_2	1379.5	56.0
ampliconic_region30_0	1830.5	42.0
ampliconic_region30_1	3198.0	58.0
ampliconic_region31_0	4332.0	55.0
ampliconic_region31_1	21919.0	57.0
ampliconic_region32_0	7451.0	62.0
ampliconic_region32_1	5959.5	52.0
ampliconic_region33_0	23725.0	69.0
ampliconic_region34_0	7691.5	69.0
ampliconic_region4_0	5314.5	13.0
ampliconic_region5_0	417.5	16.0
ampliconic_region6_0	3672.5	194.0
ampliconic_region8_0	12448.0	67.0
ampliconic_region9_0	3741.0	63.0
