name	pos	count
DMD	1019282.0	18.0
ampliconic_region10_0	5494.5	50.0
ampliconic_region10_1	5620.5	69.0
ampliconic_region11_0	13416.5	78.0
ampliconic_region12_0	29001.5	77.0
ampliconic_region13_0	28406.0	67.0
ampliconic_region14_0	56914.0	75.0
ampliconic_region14_1	5022.5	60.0
ampliconic_region16_0	2341.0	67.0
ampliconic_region17_0	1015.0	24.0
ampliconic_region17_1	70121.0	81.0
ampliconic_region18_0	1218.0	36.0
ampliconic_region18_1	1731.5	39.0
ampliconic_region21_0	585.5	923.0
ampliconic_region23_0	24365.0	89.0
ampliconic_region24_0	1616.0	34.0
ampliconic_region25_0	7655.0	42.0
ampliconic_region26_0	4209.5	110.0
ampliconic_region27_0	8584.0	77.0
ampliconic_region29_0	3605.5	37.0
ampliconic_region29_1	2802.0	73.0
ampliconic_region29_2	1368.5	29.0
ampliconic_region30_0	1737.0	33.0
ampliconic_region30_1	3101.0	81.0
ampliconic_region31_0	4257.5	55.0
ampliconic_region31_1	22193.0	60.0
ampliconic_region32_0	7477.0	57.0
ampliconic_region32_1	5697.5	56.0
ampliconic_region33_0	23578.0	78.0
ampliconic_region34_0	7680.5	65.0
ampliconic_region4_0	4738.0	15.0
ampliconic_region5_0	430.0	9.0
ampliconic_region6_0	3686.0	178.0
ampliconic_region8_0	12320.5	74.0
ampliconic_region9_0	3725.5	55.0
