name	pos	count
DMD	904864.5	25.0
ampliconic_region10_0	6396.5	24.0
ampliconic_region10_1	6114.5	64.0
ampliconic_region11_0	13065.0	76.0
ampliconic_region12_0	11387.5	16.0
ampliconic_region13_0	18345.0	38.0
ampliconic_region14_0	56331.5	61.0
ampliconic_region14_1	5141.5	63.0
ampliconic_region16_0	2343.0	63.0
ampliconic_region17_0	1135.0	26.0
ampliconic_region17_1	67676.0	55.0
ampliconic_region18_0	1435.0	27.0
ampliconic_region18_1	1841.5	26.0
ampliconic_region21_0	783.0	555.0
ampliconic_region23_0	26499.5	29.0
ampliconic_region24_0	1387.5	22.0
ampliconic_region25_0	7509.5	23.0
ampliconic_region26_0	3908.5	27.0
ampliconic_region27_0	7999.5	51.0
ampliconic_region29_0	3936.0	39.0
ampliconic_region29_1	2615.0	86.0
ampliconic_region29_2	1497.0	38.0
ampliconic_region30_0	1668.0	30.0
ampliconic_region30_1	3192.5	52.0
ampliconic_region31_0	4106.5	50.0
ampliconic_region31_1	21199.5	45.0
ampliconic_region32_0	7882.5	44.0
ampliconic_region32_1	6353.5	47.0
ampliconic_region33_0	22965.0	74.0
ampliconic_region34_0	7666.5	27.0
ampliconic_region4_0	3750.0	25.0
ampliconic_region5_0	296.5	8.0
ampliconic_region6_0	3856.5	43.0
ampliconic_region8_0	12706.0	51.0
ampliconic_region9_0	3777.0	64.0
