name	pos	count
AMELY	27570.5	11.0
BPY2	12540.5	25.0
CDY	8507.5	54.0
DAZ	61368.0	18.0
DBY	10644.5	11.0
EIF1AY	10584.0	13.0
HSFY	24362.5	33.0
KDM5D	22488.5	12.0
NLGN4Y	169201.5	11.0
PCDH11Y	365762.5	4.0
PRKY	56337.0	7.0
PRY	17044.5	17.0
RBMY1A1	14100.0	47.0
RPS4Y1	15077.0	11.0
RPS4Y2	14868.0	10.0
SRY	2415.0	15.0
TBL1Y	119071.5	10.0
TMSB4Y	3412.0	9.0
TSPY	12518.0	20.0
TXLNGY	23403.5	12.0
USP9Y	81891.5	13.0
UTY	124658.5	12.0
VCY	844.5	4.0
XKRY	3385.0	9.0
ZFY	27793.0	12.0
chrX	80487886.0	16.0
chrY.background	900373.5	9.0
