name	pos	count
AMELY	36476.0	3.0
BPY2	11723.5	10.0
CDY	3959.0	12.0
DAZ	62056.0	9.0
DBY	12839.0	5.0
EIF1AY	11453.5	4.0
HSFY	18249.0	10.0
KDM5D	24686.0	4.0
NLGN4Y	211602.5	3.0
PCDH11Y	374080.0	2.0
PRKY	70731.5	2.5
PRY	8298.5	2.0
RBMY1A1	15464.0	4.0
RPS4Y1	16135.5	4.0
RPS4Y2	13862.5	3.0
SRY	2466.5	4.0
TBL1Y	102479.0	3.0
TGIF2LY	4039.0	2.0
TMSB4Y	3341.5	3.0
TSPY	17182.5	3.0
TXLNGY	26893.5	3.0
USP9Y	84661.5	4.0
UTY	128607.0	4.0
VCY	4007.5	1.0
XKRY	3288.0	11.0
ZFY	31830.0	5.0
chrX	82188879.5	6.0
chrY.background	510941.0	3.0
