name	pos	count
AMELY	28955.0	11.0
BPY2	12647.0	27.0
CDY	7807.0	47.0
DAZ	58230.5	44.0
DBY	10671.0	11.0
EIF1AY	10452.0	13.0
HSFY	4912.5	4.0
KDM5D	21680.0	13.0
NLGN4Y	159300.0	11.0
PCDH11Y	368305.5	4.0
PRKY	53649.0	8.0
PRY	23027.0	44.0
RBMY1A1	14823.5	86.0
RPS4Y1	14576.0	11.0
RPS4Y2	14643.5	11.0
SRY	2454.0	12.0
TBL1Y	94997.0	13.0
TGIF2LY	3910.5	1.0
TMSB4Y	2820.5	12.0
TSPY	13387.0	33.0
TXLNGY	22440.5	12.0
USP9Y	85052.0	13.0
UTY	125847.0	12.0
VCY	1035.0	15.0
XKRY	2837.0	57.0
ZFY	26746.0	12.0
chrX	80214757.0	14.0
chrY.background	514629.0	10.0
