name	pos	count
AMELY	29008.5	7.0
BPY2	12701.0	16.0
CDY	7830.0	28.0
DAZ	58404.0	30.0
DBY	10789.0	8.0
EIF1AY	10199.5	9.0
HSFY	4960.5	2.0
KDM5D	21649.5	8.0
NLGN4Y	160198.0	7.0
PCDH11Y	370807.0	3.0
PRKY	53069.5	5.0
PRY	23052.0	27.0
RBMY1A1	14822.5	44.0
RPS4Y1	14586.0	7.0
RPS4Y2	14815.0	7.0
SRY	2518.5	7.0
TBL1Y	94986.0	7.0
TGIF2LY	3862.0	2.0
TMSB4Y	2717.5	8.0
TSPY	13212.5	18.0
TXLNGY	22607.5	8.0
USP9Y	85464.5	9.0
UTY	125672.5	8.0
VCY	1013.5	11.0
XKRY	2836.0	39.0
ZFY	27297.0	8.0
chrX	80333708.0	9.0
chrY.background	514027.0	7.0
