name	pos	count
AMELY	35236.0	5.0
BPY2	11751.5	14.0
CDY	4058.0	21.0
DAZ	62265.0	13.0
DBY	12530.5	8.0
EIF1AY	10788.0	6.0
HSFY	18222.5	19.0
KDM5D	24851.0	6.0
NLGN4Y	211861.0	4.0
PCDH11Y	374080.5	3.0
PRKY	70793.0	2.0
PRY	6694.0	4.0
RBMY1A1	15389.5	4.0
RPS4Y1	16147.0	4.0
RPS4Y2	13893.5	4.0
SRY	2822.0	7.0
TBL1Y	100537.0	5.0
TGIF2LY	4058.5	1.0
TMSB4Y	3273.0	3.0
TSPY	15202.0	11.0
TXLNGY	27253.0	5.0
USP9Y	86367.5	7.0
UTY	131013.0	6.0
VCY	4005.5	4.0
XKRY	3282.0	29.0
ZFY	31744.0	7.0
chrX	82191481.0	10.0
chrY.background	511484.0	4.0
