name	pos	count
AMELY	34228.0	1.0
BPY2	14398.5	1.0
CDY	12082.5	1.0
DAZ	54418.5	1.0
DBY	10640.5	1.0
EIF1AY	11036.5	1.0
HSFY	20695.5	1.0
KDM5D	11427.5	1.0
NLGN4Y	170302.0	1.0
PCDH11Y	361153.0	6.0
PRKY	62534.5	2.0
PRY	19928.5	1.0
RBMY1A1	8498.0	1.0
RPS4Y1	21844.5	1.0
RPS4Y2	17188.5	1.0
SRY	2651.0	1.0
TBL1Y	100278.5	1.0
TGIF2LY	3863.5	1.0
TMSB4Y	5284.0	1.0
TSPY	15966.0	2.5
TXLNGY	14064.5	1.0
USP9Y	77446.5	1.0
UTY	129533.0	1.0
VCY	1261.5	1.0
XKRY	3024.5	1.0
ZFY	37361.0	1.0
chrX	80507385.5	30.0
chrY.background	665768.5	1.0
