name	pos	count
DMD	1006414.0	28.0
ampliconic_region10_0	5559.0	37.0
ampliconic_region10_1	5695.0	58.0
ampliconic_region11_0	13315.0	66.0
ampliconic_region12_0	29468.5	63.0
ampliconic_region13_0	47462.0	15.0
ampliconic_region14_0	57356.5	58.0
ampliconic_region14_1	5027.0	45.0
ampliconic_region16_0	2335.0	47.0
ampliconic_region17_0	1025.0	21.0
ampliconic_region17_1	63709.5	61.0
ampliconic_region18_0	1276.0	34.0
ampliconic_region18_1	1761.0	19.0
ampliconic_region21_0	563.0	219.0
ampliconic_region23_0	24215.0	56.0
ampliconic_region24_0	1706.0	104.0
ampliconic_region25_0	7637.5	34.0
ampliconic_region26_0	4282.5	79.0
ampliconic_region27_0	8546.5	127.0
ampliconic_region29_0	4127.5	38.0
ampliconic_region29_1	2774.5	31.0
ampliconic_region29_2	1338.5	32.0
ampliconic_region30_0	1851.0	28.0
ampliconic_region30_1	3191.5	56.0
ampliconic_region31_0	4280.5	29.0
ampliconic_region31_1	21866.5	48.0
ampliconic_region32_0	7446.5	43.0
ampliconic_region32_1	5987.5	27.0
ampliconic_region33_0	23681.5	67.0
ampliconic_region34_0	7611.0	52.0
ampliconic_region4_0	5065.5	14.0
ampliconic_region5_0	395.0	7.0
ampliconic_region6_0	3696.0	251.0
ampliconic_region8_0	12453.5	61.0
ampliconic_region9_0	3741.0	36.0
