AR	ind	sample_id	region	sex	median_cov	normalized_cov
TGIF2LY	ERR1019060	S_Miao-1	EastAsia	XY	7	0.466666666666667
PCDH11Y	ERR1019060	S_Miao-1	EastAsia	XY	8	0.533333333333333
SRY	ERR1019060	S_Miao-1	EastAsia	XY	15	1
RPS4Y1	ERR1019060	S_Miao-1	EastAsia	XY	15	1
ZFY	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
AMELY	ERR1019060	S_Miao-1	EastAsia	XY	15	1
TBL1Y	ERR1019060	S_Miao-1	EastAsia	XY	14	0.933333333333333
PRKY	ERR1019060	S_Miao-1	EastAsia	XY	13	0.866666666666667
USP9Y	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
DBY	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
UTY	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
TMSB4Y	ERR1019060	S_Miao-1	EastAsia	XY	14	0.933333333333333
NLGN4Y	ERR1019060	S_Miao-1	EastAsia	XY	15	1
TXLNGY	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
KDM5D	ERR1019060	S_Miao-1	EastAsia	XY	15	1
EIF1AY	ERR1019060	S_Miao-1	EastAsia	XY	16	1.06666666666667
RPS4Y2	ERR1019060	S_Miao-1	EastAsia	XY	14	0.933333333333333
TSPY	ERR1019060	S_Miao-1	EastAsia	XY	355	23.6666666666667
VCY	ERR1019060	S_Miao-1	EastAsia	XY	17	1.13333333333333
XKRY	ERR1019060	S_Miao-1	EastAsia	XY	29	1.93333333333333
CDY	ERR1019060	S_Miao-1	EastAsia	XY	33	2.2
HSFY	ERR1019060	S_Miao-1	EastAsia	XY	31	2.06666666666667
RBMY1A1	ERR1019060	S_Miao-1	EastAsia	XY	107	7.13333333333333
PRY	ERR1019060	S_Miao-1	EastAsia	XY	42	2.8
BPY2	ERR1019060	S_Miao-1	EastAsia	XY	31	2.06666666666667
DAZ	ERR1019060	S_Miao-1	EastAsia	XY	29	1.93333333333333
chrY.background	ERR1019060	S_Miao-1	EastAsia	XY	15	1
TGIF2LY	ERR1347723	S_BantuTswana-2	Africa	XY	9	0.529411764705882
PCDH11Y	ERR1347723	S_BantuTswana-2	Africa	XY	9	0.529411764705882
SRY	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
RPS4Y1	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
ZFY	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
AMELY	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
TBL1Y	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
PRKY	ERR1347723	S_BantuTswana-2	Africa	XY	16	0.941176470588235
USP9Y	ERR1347723	S_BantuTswana-2	Africa	XY	19	1.11764705882353
DBY	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
UTY	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
TMSB4Y	ERR1347723	S_BantuTswana-2	Africa	XY	16	0.941176470588235
NLGN4Y	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
TXLNGY	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
KDM5D	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
EIF1AY	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
RPS4Y2	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
TSPY	ERR1347723	S_BantuTswana-2	Africa	XY	464	27.2941176470588
VCY	ERR1347723	S_BantuTswana-2	Africa	XY	18	1.05882352941176
XKRY	ERR1347723	S_BantuTswana-2	Africa	XY	39	2.29411764705882
CDY	ERR1347723	S_BantuTswana-2	Africa	XY	57	3.35294117647059
HSFY	ERR1347723	S_BantuTswana-2	Africa	XY	38	2.23529411764706
RBMY1A1	ERR1347723	S_BantuTswana-2	Africa	XY	129	7.58823529411765
PRY	ERR1347723	S_BantuTswana-2	Africa	XY	65	3.82352941176471
BPY2	ERR1347723	S_BantuTswana-2	Africa	XY	54	3.17647058823529
DAZ	ERR1347723	S_BantuTswana-2	Africa	XY	73	4.29411764705882
chrY.background	ERR1347723	S_BantuTswana-2	Africa	XY	17	1
TGIF2LY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	7	0.388888888888889
PCDH11Y	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	10	0.555555555555556
SRY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	16	0.888888888888889
RPS4Y1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
ZFY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
AMELY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
TBL1Y	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
PRKY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	17	0.944444444444444
USP9Y	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
DBY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
UTY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
TMSB4Y	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
NLGN4Y	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
TXLNGY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
KDM5D	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
EIF1AY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	19	1.05555555555556
RPS4Y2	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
TSPY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	425	23.6111111111111
VCY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	23	1.27777777777778
XKRY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	36	2
CDY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	61	3.38888888888889
HSFY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	37	2.05555555555556
RBMY1A1	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	163	9.05555555555556
PRY	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	67	3.72222222222222
BPY2	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	54	3
DAZ	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	70	3.88888888888889
chrY.background	ERR1019034	S_Altaian-1	CentralAsiaSiberia	XY	18	1
TGIF2LY	ERR1019035	S_Balochi-1	SouthAsia	XY	9	0.5
PCDH11Y	ERR1019035	S_Balochi-1	SouthAsia	XY	9	0.5
SRY	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
RPS4Y1	ERR1019035	S_Balochi-1	SouthAsia	XY	19	1.05555555555556
ZFY	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
AMELY	ERR1019035	S_Balochi-1	SouthAsia	XY	18	1
TBL1Y	ERR1019035	S_Balochi-1	SouthAsia	XY	18	1
PRKY	ERR1019035	S_Balochi-1	SouthAsia	XY	17	0.944444444444444
USP9Y	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
DBY	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
UTY	ERR1019035	S_Balochi-1	SouthAsia	XY	21	1.16666666666667
TMSB4Y	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
NLGN4Y	ERR1019035	S_Balochi-1	SouthAsia	XY	19	1.05555555555556
TXLNGY	ERR1019035	S_Balochi-1	SouthAsia	XY	19	1.05555555555556
KDM5D	ERR1019035	S_Balochi-1	SouthAsia	XY	19	1.05555555555556
EIF1AY	ERR1019035	S_Balochi-1	SouthAsia	XY	20	1.11111111111111
RPS4Y2	ERR1019035	S_Balochi-1	SouthAsia	XY	19	1.05555555555556
TSPY	ERR1019035	S_Balochi-1	SouthAsia	XY	477	26.5
VCY	ERR1019035	S_Balochi-1	SouthAsia	XY	24	1.33333333333333
XKRY	ERR1019035	S_Balochi-1	SouthAsia	XY	36	2
CDY	ERR1019035	S_Balochi-1	SouthAsia	XY	58	3.22222222222222
