,ind,species,sex,chrom,gene,pos,count
0,Banjo,gorilla,M,X,DMD,996700.5,15.0
1,Banjo,gorilla,M,X,10_0,5505.0,20.0
2,Banjo,gorilla,M,X,10_1,5620.5,27.0
3,Banjo,gorilla,M,X,11_0,13256.5,32.0
4,Banjo,gorilla,M,X,12_0,29548.0,32.0
5,Banjo,gorilla,M,X,13_0,48268.0,10.0
6,Banjo,gorilla,M,X,14_0,57653.0,29.0
7,Banjo,gorilla,M,X,14_1,4878.0,23.0
8,Banjo,gorilla,M,X,16_0,2338.0,22.0
9,Banjo,gorilla,M,X,17_0,1034.5,10.0
10,Banjo,gorilla,M,X,17_1,63109.0,32.0
11,Banjo,gorilla,M,X,18_0,1257.0,15.0
12,Banjo,gorilla,M,X,18_1,1771.5,9.0
13,Banjo,gorilla,M,X,21_0,562.5,104.0
14,Banjo,gorilla,M,X,23_0,24221.5,28.0
15,Banjo,gorilla,M,X,24_0,1693.0,43.0
16,Banjo,gorilla,M,X,25_0,7670.0,18.0
17,Banjo,gorilla,M,X,26_0,4170.0,41.0
18,Banjo,gorilla,M,X,27_0,8576.0,53.0
19,Banjo,gorilla,M,X,29_0,4133.5,18.0
20,Banjo,gorilla,M,X,29_1,2773.5,14.0
21,Banjo,gorilla,M,X,29_2,1346.5,14.0
22,Banjo,gorilla,M,X,30_0,1832.0,15.0
23,Banjo,gorilla,M,X,30_1,3186.5,30.0
24,Banjo,gorilla,M,X,31_0,4289.5,14.0
25,Banjo,gorilla,M,X,31_1,22106.5,24.0
26,Banjo,gorilla,M,X,32_0,7492.5,20.0
27,Banjo,gorilla,M,X,32_1,5954.0,13.0
28,Banjo,gorilla,M,X,33_0,23516.0,33.0
29,Banjo,gorilla,M,X,34_0,7580.5,25.0
30,Banjo,gorilla,M,X,4_0,5065.5,8.0
31,Banjo,gorilla,M,X,5_0,408.0,3.0
32,Banjo,gorilla,M,X,6_0,3723.0,149.0
33,Banjo,gorilla,M,X,8_0,12462.0,31.0
34,Banjo,gorilla,M,X,9_0,3731.5,16.0
35,Buschi,orang,M,X,DMD,875739.0,5.0
36,Buschi,orang,M,X,10_0,7047.5,6.0
37,Buschi,orang,M,X,10_1,6076.5,13.0
38,Buschi,orang,M,X,11_0,13038.0,16.0
39,Buschi,orang,M,X,12_0,17962.0,5.0
40,Buschi,orang,M,X,13_0,17372.0,9.0
41,Buschi,orang,M,X,14_0,57084.0,13.0
42,Buschi,orang,M,X,14_1,5071.0,12.0
43,Buschi,orang,M,X,16_0,2417.5,12.0
