,ind,species,sex,chrom,gene,pos,count
0,Carolina,chimp,F,Y,DAZ,54442.0,1.0
1,Carolina,chimp,F,Y,EIF1AY,15449.5,1.0
2,Carolina,chimp,F,Y,NLGN4Y,73891.5,1.0
3,Carolina,chimp,F,Y,PCDH11Y,368003.5,5.0
4,Carolina,chimp,F,Y,PRKY,41676.5,3.0
5,Carolina,chimp,F,Y,PRY,34668.5,3.0
6,Carolina,chimp,F,Y,TBL1Y,52689.5,6.0
7,Carolina,chimp,F,Y,TGIF2LY,3859.5,4.0
8,Carolina,chimp,F,Y,USP9Y,151756.0,1.0
9,Carolina,chimp,F,Y,UTY,224566.0,4.0
10,Carolina,chimp,F,Y,VCY,1787.0,5.0
11,Carolina,chimp,F,Y,chrX,80256031.0,20.0
12,Carolina,chimp,F,Y,chrY.background,502683.0,1.0
13,Carolina,chimp,F,Y,AMELY   0   0,,
14,Carolina,chimp,F,Y,BPY2    0   0,,
15,Carolina,chimp,F,Y,CDY 0   0,,
16,Carolina,chimp,F,Y,RBMY1A1 0   0,,
17,Carolina,chimp,F,Y,TSPY    0   0,,
18,Simliki,chimp,F,X,DMD,1019282.0,18.0
19,Simliki,chimp,F,X,10_0,5494.5,50.0
20,Simliki,chimp,F,X,10_1,5620.5,69.0
21,Simliki,chimp,F,X,11_0,13416.5,78.0
22,Simliki,chimp,F,X,12_0,29001.5,77.0
23,Simliki,chimp,F,X,13_0,28406.0,67.0
24,Simliki,chimp,F,X,14_0,56914.0,75.0
25,Simliki,chimp,F,X,14_1,5022.5,60.0
26,Simliki,chimp,F,X,16_0,2341.0,67.0
27,Simliki,chimp,F,X,17_0,1015.0,24.0
28,Simliki,chimp,F,X,17_1,70121.0,81.0
29,Simliki,chimp,F,X,18_0,1218.0,36.0
30,Simliki,chimp,F,X,18_1,1731.5,39.0
31,Simliki,chimp,F,X,21_0,585.5,923.0
32,Simliki,chimp,F,X,23_0,24365.0,89.0
33,Simliki,chimp,F,X,24_0,1616.0,34.0
34,Simliki,chimp,F,X,25_0,7655.0,42.0
35,Simliki,chimp,F,X,26_0,4209.5,110.0
36,Simliki,chimp,F,X,27_0,8584.0,77.0
37,Simliki,chimp,F,X,29_0,3605.5,37.0
38,Simliki,chimp,F,X,29_1,2802.0,73.0
39,Simliki,chimp,F,X,29_2,1368.5,29.0
40,Simliki,chimp,F,X,30_0,1737.0,33.0
41,Simliki,chimp,F,X,30_1,3101.0,81.0
42,Simliki,chimp,F,X,31_0,4257.5,55.0
43,Simliki,chimp,F,X,31_1,22193.0,60.0
44,Simliki,chimp,F,X,32_0,7477.0,57.0
45,Simliki,chimp,F,X,32_1,5697.5,56.0
46,Simliki,chimp,F,X,33_0,23578.0,78.0
47,Simliki,chimp,F,X,34_0,7680.5,65.0
48,Simliki,chimp,F,X,4_0,4738.0,15.0
49,Simliki,chimp,F,X,5_0,430.0,9.0
50,Simliki,chimp,F,X,6_0,3686.0,178.0
51,Simliki,chimp,F,X,8_0,12320.5,74.0
52,Simliki,chimp,F,X,9_0,3725.5,55.0
53,Moni,orang,F,X,DMD,894217.0,17.0
54,Moni,orang,F,X,10_0,6333.0,14.0
55,Moni,orang,F,X,10_1,6074.5,38.0
56,Moni,orang,F,X,11_0,13007.0,46.0
57,Moni,orang,F,X,12_0,11166.0,11.0
58,Moni,orang,F,X,13_0,18085.0,23.0
59,Moni,orang,F,X,14_0,56350.0,38.0
60,Moni,orang,F,X,14_1,5164.0,40.0
61,Moni,orang,F,X,16_0,2345.0,38.0
62,Moni,orang,F,X,17_0,1082.0,17.0
63,Moni,orang,F,X,17_1,67804.0,35.0
64,Moni,orang,F,X,18_0,1425.5,17.0
65,Moni,orang,F,X,18_1,1845.5,14.0
66,Moni,orang,F,X,21_0,834.0,579.0
67,Moni,orang,F,X,23_0,26470.5,18.0
68,Moni,orang,F,X,24_0,1379.0,17.0
69,Moni,orang,F,X,25_0,7688.0,15.0
70,Moni,orang,F,X,26_0,3921.0,19.0
71,Moni,orang,F,X,27_0,8092.0,33.0
72,Moni,orang,F,X,29_0,3946.0,26.0
73,Moni,orang,F,X,29_1,2611.0,53.0
74,Moni,orang,F,X,29_2,1488.0,23.0
75,Moni,orang,F,X,30_0,1618.0,17.0
76,Moni,orang,F,X,30_1,3239.0,32.0
77,Moni,orang,F,X,31_0,4247.0,31.0
78,Moni,orang,F,X,31_1,21494.0,26.0
79,Moni,orang,F,X,32_0,7811.0,24.0
80,Moni,orang,F,X,32_1,6319.0,23.0
81,Moni,orang,F,X,33_0,22962.0,46.0
82,Moni,orang,F,X,34_0,7622.5,15.0
83,Moni,orang,F,X,4_0,4174.5,15.0
84,Moni,orang,F,X,5_0,266.0,5.0
85,Moni,orang,F,X,6_0,3874.0,31.0
86,Moni,orang,F,X,8_0,12646.0,31.0
87,Moni,orang,F,X,9_0,3795.5,39.0
88,Mutasi,gorilla,F,X,DMD,1003087.0,26.0
89,Mutasi,gorilla,F,X,10_0,5524.0,45.0
90,Mutasi,gorilla,F,X,10_1,5621.5,70.0
91,Mutasi,gorilla,F,X,11_0,13336.5,69.0
92,Mutasi,gorilla,F,X,12_0,29459.5,64.0
93,Mutasi,gorilla,F,X,13_0,48011.0,20.0
94,Mutasi,gorilla,F,X,14_0,57479.0,65.0
95,Mutasi,gorilla,F,X,14_1,4974.0,60.0
96,Mutasi,gorilla,F,X,16_0,2335.5,66.0
97,Mutasi,gorilla,F,X,17_0,1015.5,28.0
98,Mutasi,gorilla,F,X,17_1,63095.5,65.0
99,Mutasi,gorilla,F,X,18_0,1260.5,35.0
100,Mutasi,gorilla,F,X,18_1,1751.5,20.0
101,Mutasi,gorilla,F,X,21_0,495.5,436.0
102,Mutasi,gorilla,F,X,23_0,24177.5,61.0
103,Mutasi,gorilla,F,X,24_0,1710.5,212.0
104,Mutasi,gorilla,F,X,25_0,7688.5,34.0
105,Mutasi,gorilla,F,X,26_0,4274.5,87.0
106,Mutasi,gorilla,F,X,27_0,8524.0,126.0
107,Mutasi,gorilla,F,X,29_0,4128.0,51.0
108,Mutasi,gorilla,F,X,29_1,2779.0,46.0
109,Mutasi,gorilla,F,X,29_2,1379.5,56.0
110,Mutasi,gorilla,F,X,30_0,1830.5,42.0
111,Mutasi,gorilla,F,X,30_1,3198.0,58.0
112,Mutasi,gorilla,F,X,31_0,4332.0,55.0
113,Mutasi,gorilla,F,X,31_1,21919.0,57.0
114,Mutasi,gorilla,F,X,32_0,7451.0,62.0
115,Mutasi,gorilla,F,X,32_1,5959.5,52.0
116,Mutasi,gorilla,F,X,33_0,23725.0,69.0
